dataset,plane_idx,normal_x,normal_y,normal_z,d,inlier_count,inlier_ratio,total_points
case01_single,1,0.016068096562386038,0.020283517603801062,-0.999665141528141,-0.1521805124202741,14579,0.72895,20000
case01_single,2,-0.0,0.0,-1.0,-0.0,4647,0.23235,20000
case02_2planes_10_90,1,0.013503365235122553,0.999852863501261,0.010578774771003864,-0.15021124790805035,14633,0.73165,20000
case02_2planes_10_90,2,0.013214159705112635,0.9998815610851028,0.007889853313299503,-0.1829196157483151,3010,0.1505,20000
case02_2planes_10_90,3,0.9986508978870402,-0.033865626008813654,0.03936373361915248,-0.05361750087551376,1230,0.0615,20000
case02_2planes_10_90,4,1.0,0.0,0.0,-0.0,697,0.03485,20000
case03_2planes_20_80,1,0.005272968616337028,0.9999491080198947,-0.008600998325095739,-0.009002437655487347,15180,0.759,20000
case03_2planes_20_80,2,0.9969727296281748,0.062495687857958275,-0.04625651712901252,-0.10358305876706075,2288,0.1144,20000
case03_2planes_20_80,3,0.9999920688259336,0.0012916567538319304,-0.003767480333014273,-0.0008046240527940897,1600,0.08,20000
case04_2planes_30_70,1,-0.0068119635288226635,0.9999221192219445,0.010457181435612571,-0.04710881965906937,11936,0.5968,20000
case04_2planes_30_70,2,0.9999339009580509,0.011255422876681164,0.0023471622615623845,-0.09808934369979584,5496,0.2748,20000
case04_2planes_30_70,3,-0.013965192624285784,0.9998838122185806,0.006110274806024711,-0.023094044859127826,1641,0.08205,20000
case05_2planes_40_60,1,0.0005145597677881095,0.9999774647985832,0.006693662916802451,-0.061408412755900824,11760,0.588,20000
case05_2planes_40_60,2,-0.999984866713968,0.0054928310957187585,-0.0003084632902538162,-0.00013996165329596233,7771,0.38855,20000
case06_2planes_50_50,1,-0.9999707933947061,0.006412614853548357,0.0041582121521337,-0.026975250190635548,7898,0.3949,20000
case06_2planes_50_50,2,0.008430457942944848,-0.9999637970473949,0.0011541115320989135,-0.01718250393133989,6067,0.30335,20000
case06_2planes_50_50,3,0.04246098732422069,-0.9990571195859104,0.009051870533560628,-0.22594188287440276,3629,0.18145,20000
case06_2planes_50_50,4,-0.9997199649187647,0.019241413775514492,0.013775330803406476,-0.137980946272507,1894,0.0947,20000
case07_3planes_30_35_35,1,0.9999844786029041,-0.0005785029347510998,0.0055414698079706715,-0.04045812457642455,5866,0.2933,20000
case07_3planes_30_35_35,2,0.0140735452030712,0.9998148893382951,-0.013119542022107411,-0.037445800663815296,5443,0.27215,20000
case07_3planes_30_35_35,3,-0.05177166035980964,0.0648150193161905,0.9965534147523806,-0.08258726891209836,3894,0.1947,20000
case07_3planes_30_35_35,4,-0.003947343895321273,0.007672684788647526,0.9999627734992469,-0.045345180695246144,2882,0.1441,20000
case07_3planes_30_35_35,5,0.0,1.0,0.0,-0.0,1232,0.0616,20000
case08_3planes_40_30_30,1,0.9999417334520045,0.008676848961063187,-0.006421992923308378,-0.04348340353442942,7209,0.36045,20000
case08_3planes_40_30_30,2,0.03998859350627422,0.9991124334995302,0.013238489945496876,-0.2941454281901518,3678,0.1839,20000
case08_3planes_40_30_30,3,0.005542617946952236,-0.0013049708797947793,0.9999837880872354,-0.034020545911167134,3311,0.16555,20000
case08_3planes_40_30_30,4,0.06993810783618272,-0.03663783279314,0.9968782926117493,-0.17435928602559336,2521,0.12605,20000
case08_3planes_40_30_30,5,0.004401816389424044,0.9999903108942015,-4.615400428592785e-05,-0.03236894108462455,2110,0.1055,20000
case08_3planes_40_30_30,6,0.9996953827862325,0.0217413368532067,-0.011681434317909046,-0.057465045798054504,514,0.0257,20000
case09_3planes_50_25_25,1,-0.9999781618788379,0.006608733372861088,2.0214531062874462e-05,-0.012897720447479789,9814,0.4907,20000
case09_3planes_50_25_25,2,0.014038720212459197,0.0024463524724316348,0.9998984596919714,-0.12194254002416215,4150,0.2075,20000
case09_3planes_50_25_25,3,-0.028930028801543932,-0.99883895344203,0.03852010540447823,-0.017372017845287496,3005,0.15025,20000
case09_3planes_50_25_25,4,0.00136802749509795,0.9999987067724191,0.0008455496802790594,-0.01161646674074348,1704,0.0852,20000
case09_3planes_50_25_25,5,0.027911592940715706,0.006840401327775802,0.9995869906562344,-0.18588583636839645,633,0.03165,20000
case10_3planes_60_20_20,1,-0.9999005488915779,0.014100249605988414,0.00027438544048357034,-0.03186772048323555,9622,0.4811,20000
case10_3planes_60_20_20,2,0.0013466499493951637,-0.9999951589823368,0.0028050928335428744,-0.00786480713535801,3855,0.19275,20000
case10_3planes_60_20_20,3,0.010936408382163256,0.003635909079056016,0.9999335853629817,-0.10317954005929131,3623,0.18115,20000
case10_3planes_60_20_20,4,-0.9995425582889705,0.030240874884806767,0.00040454337401196706,-0.13176707006086544,2122,0.1061,20000
case11_3planes_70_15_15,1,-0.9999754853700724,-0.00043855687288364627,0.006988299275024242,-0.010485500955232131,7678,0.3839,20000
case11_3planes_70_15_15,2,-0.9968725816116628,0.01690931292215439,0.07719540897876831,-0.44264150293560883,5949,0.29745,20000
case11_3planes_70_15_15,3,0.007932701268231172,0.00786439378272843,0.9999376098342432,-0.10035574177105024,2594,0.1297,20000
case11_3planes_70_15_15,4,0.040408992686526896,0.9987173426900652,0.030508731867370634,-0.38518966120525366,1747,0.08735,20000
case11_3planes_70_15_15,5,0.004227804989844906,0.9999779223204259,0.005126454592807037,-0.06317072877699996,1131,0.05655,20000
case12_3planes_80_10_10,1,0.9987897440487454,-0.020940250016670554,0.04450340562564767,-0.14511666988262253,9640,0.482,20000
case12_3planes_80_10_10,2,0.9999940804201871,0.003331263110435441,0.0008612843162897115,-0.021115241673269565,5913,0.29565,20000
case12_3planes_80_10_10,3,0.002267166914528473,-0.9999889788458033,0.004111221364697254,-0.008283876160991174,1948,0.0974,20000
case12_3planes_80_10_10,4,-0.03514130319480339,0.035037818953119096,0.998767961066423,-0.02783801609876449,1233,0.06165,20000
case12_3planes_80_10_10,5,0.0,0.0,1.0,-0.0,675,0.03375,20000
case13_3planes_90_05_05,1,0.9999612411159987,-0.005828114555465926,0.0065991928657711755,-0.0335732099382946,17239,0.86195,20000
case13_3planes_90_05_05,2,0.005657698934775624,-0.9999289469468406,0.010492449692312418,-0.04946187934251256,838,0.0419,20000
case13_3planes_90_05_05,3,0.017538258050493038,-0.021917447194205613,0.9996059398648267,-0.016943980758237505,663,0.03315,20000
case13_3planes_90_05_05,4,-0.9998533790410794,0.015498937224906806,-0.007280340997088947,-0.011275581738668806,365,0.01825,20000
